internship_title,company_name,location,start_date,duration,stipend,sector_name,field_name,skills_set,detailed_description
Customer Support Management,ClearTax,Bangalore,Immediately,6 Months,"₹ 30,000 /month","Banking and Financial Services, IT and Software Development","Customer Support & Technical Helpdesk, Client Relationship Management (CRM)","Customer Support, Problem Solving, Tax Software Knowledge, Communication","At ClearTax, you will help users resolve queries related to tax filing, software usage, and financial compliance. You will provide timely assistance via chat, email, or phone to ensure high customer satisfaction."
Bilingual Content Writing,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,"Media, Entertainment & Education","Content Strategy & Copywriting, Corporate Communications & Public Relations (PR)","Bilingual Translation, Content Writing, Copyediting, Political Communication","Working with the Aam Aadmi Party, you will create and translate bilingual content for campaigns, social media, and press releases. Your work will involve crafting clear messaging in multiple languages to reach diverse constituents."
Office Operations,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,Consulting Services,"Operations & Process Excellence (Six Sigma), Project & Program Management","Office Administration, Data Entry, Microsoft Office, Organization","At the Aam Aadmi Party, you will support daily administrative tasks, manage office records, and coordinate internal communications. You will ensure smooth day-to-day office operations by assisting staff and organizing resources."
Design,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month","Retail & Consumer Durables, FMCG (Fast-Moving Consumer Goods)","UI/UX & Product Design, Graphic Design & Visual Communication","Packaging Design, Adobe Creative Suite, Visual Arts, Brand Guidelines","At Sanghvi Beauty & Technologies (MyGlamm), you will design visual elements for beauty products, packaging, and digital promotional campaigns. You will work closely with the marketing team to deliver trend-forward design assets."
Copywriting,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month","Retail & Consumer Durables, FMCG (Fast-Moving Consumer Goods)","Content Strategy & Copywriting, Brand Management & Advertising","Copywriting, Creative Writing, Social Media Copy, Editing","As a Copywriting intern at MyGlamm, you will write engaging product descriptions, blog posts, and marketing copy for beauty and cosmetic lines. You will craft compelling narratives that resonate with the target consumer audience."
Social Media And Influencer Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month","Media, Entertainment & Education","Social Media & Community Management, Brand Management & Advertising","Influencer Marketing, Social Media Management, Campaign Planning, Outreach","At Hungama Digital Media Entertainment, you will coordinate influencer marketing campaigns across various digital platforms. Your responsibilities include identifying creators, managing partnerships, and tracking campaign engagement metrics."
Customer Success,ClearTax,Bangalore,Immediately,6 Months,"₹ 20,000 /month","Banking and Financial Services, IT and Software Development","Client Relationship Management (CRM), Customer Support & Technical Helpdesk","Customer Success, Account Management, Client Retention, Communication","At ClearTax, you will manage relationships with enterprise or individual clients to ensure they derive maximum value from the platform. You will proactively address client concerns, provide product onboarding, and drive retention."
Instagram/TikTok Reel Creation,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 1,500-2,500 /month","Media, Entertainment & Education","Video Production & Motion Graphics, Social Media & Community Management","Reel Editing, Short-Form Video Production, CapCut / Premiere Pro, Trend Analysis","As an Instagram/TikTok Reel Creation intern at Across The Globe (ATG), you will conceptualize and produce engaging short-form video content. You will stay up-to-date with social media trends to boost user engagement and channel growth."
Corporate Sales,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,000-2,500 /month","Media, Entertainment & Education, Consulting Services","B2B Sales & Key Account Management, Client Relationship Management (CRM)","Corporate Sales, B2B Communication, Negotiation, Lead Generation","At Across The Globe (ATG), you will handle corporate sales initiatives, pitch services to institutional clients, and build a robust sales pipeline. You will conduct market research and engage with key stakeholders to close business deals."
Affiliate Marketing,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,000-2,500 /month","Media, Entertainment & Education, IT and Software Development","Digital Marketing & SEO/SEM, B2B Sales & Key Account Management","Affiliate Marketing, Partnership Management, Data Tracking, Performance Marketing","Working with Across The Globe (ATG), you will manage and expand affiliate marketing programs to drive user acquisition. You will recruit new affiliates, track referral traffic, and optimize partnership performance metrics."
Product Management,Saregama India Limited,Mumbai,Immediately,6 Months,"₹ 5,000-10,000 /month","Media, Entertainment & Education",Product Management,"Product Strategy, Market Research, Data Analytics, Agile Methodologies","As a Product Management intern at Saregama India Limited, you will assist in defining product roadmaps, analyzing user engagement metrics, and coordinating with design and development teams to launch digital entertainment features. You will conduct market research on industry trends to help shape upcoming product releases."
Influencer Marketing,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Media, Entertainment & Education","Digital Marketing & SEO/SEM, Social Media & Community Management","Influencer Outreach, Campaign Management, Social Media Marketing, Negotiation","At Subhansh Sewa Trust, you will identify, reach out to, and onboard social media influencers to drive awareness for our trust campaigns. You will monitor campaign deliverables, coordinate content schedules, and track engagement metrics."
Media And Public Relations (PR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Media, Entertainment & Education",Corporate Communications & Public Relations (PR),"Press Releases, Media Relations, Content Writing, Communication","As a Media and PR intern with Subhansh Sewa Trust, you will draft press releases, build relationships with media outlets, and pitch stories highlighting the trust's initiatives. You will also monitor media coverage and assist in managing public relations events."
Law/Legal,Thomas Cook,Mumbai,Immediately,6 Months,"₹ 3,000 /month",Travel & Hospitality,Corporate Legal Affairs & Contract Management,"Contract Drafting, Legal Research, Compliance, Corporate Law","At Thomas Cook, you will assist the legal team in drafting and reviewing various business contracts, vendor agreements, and compliance documents. You will conduct comprehensive legal research and support internal teams on regulatory matters."
Human Resources (HR),Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month","FMCG (Fast-Moving Consumer Goods), Retail & Consumer Durables",Human Resources (HR) & People Operations,"Talent Sourcing, Employee Engagement, HR Administration, Communication","At Sanghvi Beauty & Technologies (MyGlamm), you will support the HR team with daily employee operations, onboarding processes, and talent acquisition tasks. You will also help coordinate employee engagement activities and maintain personnel records."
PHP Laravel Development,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,500 /month +  Incentives",IT and Software Development,Full Stack Web Development,"PHP, Laravel, MySQL, JavaScript","As a PHP Laravel Development intern at Across The Globe (ATG), you will design, develop, and maintain backend features and web applications using the Laravel framework. You will collaborate with front-end developers to integrate user-facing elements and optimize application performance."
Campus Ambassador,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Performance Based,"Media, Entertainment & Education",B2B Sales & Key Account Management,"Campus Outreach, Public Speaking, Networking, Marketing","As a Campus Ambassador for Subhansh Sewa Trust, you will represent the organization on your college campus, promoting its initiatives and driving student participation in various programs. You will coordinate promotional activities and build a strong campus network."
Social Work,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Media, Entertainment & Education",Event Management & Public Relations,"Community Outreach, Project Coordination, Empathy, Event Planning","At Subhansh Sewa Trust, you will participate in field activities, coordinate community outreach programs, and support social welfare operations. You will interact with beneficiaries and help organize workshops and awareness camps."
Social (Fundraising),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Media, Entertainment & Education",B2B Sales & Key Account Management,"Fundraising, Donor Relations, Pitching, Sales","As a Social Fundraising intern at Subhansh Sewa Trust, you will reach out to potential donors, pitch the trust's charitable causes, and secure financial contributions. You will help plan and execute online and offline fundraising campaigns."
Human Resources (HR),Paisabazaar,Gurgaon,Immediately,6 Months,"₹ 20,000 /month",Banking and Financial Services,Human Resources (HR) & People Operations,"Recruitment, Onboarding, HR Operations, Candidate Sourcing","At Paisabazaar, you will support the human resources department in screening resumes, scheduling interviews, and managing candidate pipelines. You will also assist with onboarding documentation and employee relations projects."
Sales,Prolance,Bangalore,Immediately,6 Months,"₹ 5,000 /month",IT and Software Development,B2B Sales & Key Account Management,"Lead Generation, B2B Sales, Negotiation, Client Interaction","As a Sales intern at Prolance, you will identify potential clients, generate sales leads, and reach out to prospective customers to present company offerings. You will assist the sales team in closing deals and maintaining client records."
Sales  Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,6 Months,"₹ 12,000 /month","IT and Software Development, Housing",B2B Sales & Key Account Management,"Customer Relationship Management, Sales Pitching, Lead Conversion, Negotiation","At NoBroker Technologies Solutions, you will connect with prospective property buyers or tenants, understand their housing requirements, and pitch suitable brokerage-free solutions. You will manage customer queries and drive lead conversion to meet sales targets."
Marketing,HarperCollins Publishers India Private Limited,Gurgaon,Immediately,6 Months,"₹ 5,000 /month","Media, Entertainment & Education",Brand Management & Advertising,"Content Marketing, Market Research, Social Media, Copywriting","As a Marketing intern at HarperCollins Publishers India, you will assist in planning promotional campaigns for new book releases, managing social media channels, and writing copy for marketing collateral. You will also analyze marketing campaign performance and competitor book releases."
Human Resources (HR),Zucol Group Of Companies,Gurgaon,Immediately,6 Months,"₹ 8,000 /month",Diversified Conglomerates,Human Resources (HR) & People Operations,"Talent Acquisition, HR Management, Employee Relations, Database Management","At Zucol Group Of Companies, you will handle end-to-end recruitment coordination, manage employee databases, and assist with general human resource administration. You will also help organize employee engagement and performance review activities."
Sales,NoBroker Technologies Solutions Private Limited,Chennai,Immediately,6 Months,"₹ 12,000 /month","IT and Software Development, Housing",B2B Sales & Key Account Management,"Direct Sales, Client Management, Communication, Target Achievement","As a Sales intern at NoBroker Technologies Solutions, you will handle inbound and outbound sales calls, guide customers through the platform's subscription plans, and secure service bookings. You will track sales metrics and follow up with potential clients regularly."
Recruitment,Ozzone Group,Work From Home,Immediately,6 Months,"₹ 4,500 /month",Consulting Services,Talent Acquisition & Technical Recruitment,"Candidate Sourcing, Resume Screening, Interview Coordination, Job Portals","At Ozzone Group, you will source prospective candidates using various job portals, screen resumes against job descriptions, and conduct initial phone screens. You will coordinate interview schedules between candidates and hiring managers."
Sales,Reliance Brands Limited,Chandigarh,Immediately,6 Months,"₹ 14,000 /month",Retail & Consumer Durables,Store Operations & Visual Merchandising,"Retail Sales, Customer Service, Visual Merchandising, Product Knowledge","As a Sales intern at Reliance Brands Limited, you will assist store customers with product selections, styling advice, and purchases in a luxury retail environment. You will maintain store floor standards, assist with inventory management, and handle transactions."
UX Design,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month",IT and Software Development,UI/UX & Product Design,"Figma, Wireframing, User Research, Prototyping","At Techolution, you will design user interfaces and experiences for web and mobile applications by creating wireframes, user flows, and high-fidelity prototypes. You will collaborate with product managers and developers to implement user-centric design solutions."
HR Consultant,Paracoat Products Limited,Gurgaon,Immediately,6 Months,"₹ 15,000 /month",Manufacturing & Industrial,Human Resources (HR) & People Operations,"HR Operations, Recruitment, Personnel Management, Communication","As an HR Consultant intern at Paracoat Products Limited, you will assist in developing talent acquisition strategies, evaluating internal HR policies, and supporting employee relations. You will also help streamline administrative onboarding and training workflows."
Law/Legal,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month",IT and Software Development,Corporate Legal Affairs & Contract Management,"Legal Research, Contract Review, Compliance, Intellectual Property","At Techolution, you will assist the legal and compliance team in reviewing vendor contracts, software licenses, and corporate compliance policies. You will perform legal research on technology regulations and help maintain documentation archives."
L&D,Godrej And Boyce Manufacturing Company Limited,Mumbai,Immediately,6 Months,"₹ 4,000 /month","Diversified Conglomerates, Manufacturing & Industrial","Learning & Organizational Development (L&D), Human Resources (HR) & People Operations","Training Needs Analysis, E-learning Tools, Communication, Presentation Skills","Assist in designing, delivering, and evaluating learning and development programs for employees. Coordinate training schedules, manage training materials, and track employee participation and feedback to improve organizational skills."
Human Resources (HR),Trent Hypermarket Private Limited - STAR Bazaar,Mumbai,Immediately,6 Months,"₹ 7,000-10,000 /month",Retail & Consumer Durables,"Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","Recruitment, Onboarding, HR Administration, Communication","Support the HR team in day-to-day operations including employee onboarding, maintaining HR records, and assisting with talent acquisition for retail store operations."
Search Engine Optimization (SEO),CollegeDunia Web Private Limited,Work From Home,Immediately,6 Months,"₹ 15,000-20,000 /month","Media, Entertainment & Education",Digital Marketing & SEO/SEM,"SEO, Keyword Research, Google Analytics, Content Optimization","Optimize website content and structure to improve search engine rankings and drive organic traffic. Conduct keyword research, analyze competitor performance, and assist in implementing effective SEO strategies."
Human Resources (HR),International SOS,Mumbai,Immediately,6 Months,"₹ 15,000 /month",Healthcare,Human Resources (HR) & People Operations,"Employee Relations, HR Policies, Data Management, Communication","Support the human resources department in managing employee lifecycles, processing HR documentation, and coordinating staff engagement initiatives in a healthcare services environment."
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,Immediately,6 Months,"₹ 25,000 /month","Healthcare, Retail & Consumer Durables","Product Management, Operations & Process Excellence (Six Sigma)","Project Management, Market Research, Cross-functional Coordination, Data Analysis","Assist in planning and executing new product or service launches across fitness and healthcare platforms. Collaborate with marketing, operations, and product teams to ensure smooth rollout and tracking of launch metrics."
Marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6 Months,"₹ 7,000-12,000 /month",Logistics & Supply Chain,"Digital Marketing & SEO/SEM, B2B Sales & Key Account Management","Market Research, Lead Generation, Social Media Marketing, Communication","Support marketing campaigns to promote courier and logistics services. Conduct market research, assist with promotional materials, and help generate leads to expand client reach."
HR - Talent Acquisition,Niva Bupa Health Insurance,Noida,Immediately,6 Months,"₹ 10,000 /month","Banking and Financial Services, Healthcare","Talent Acquisition & Technical Recruitment, Human Resources (HR) & People Operations","Sourcing, Candidate Screening, Interview Scheduling, Applicant Tracking Systems","Source, screen, and interview potential candidates for various roles within the health insurance sector. Coordinate with hiring managers to streamline recruitment pipelines and improve talent acquisition metrics."
Campus Ambassador,Across The Globe (ATG),Work From Home,Immediately,6 Months,Performance Based,"Media, Entertainment & Education, IT and Software Development","Digital Marketing & SEO/SEM, Social Media & Community Management","Brand Promotion, Peer Networking, Social Media Outreach, Public Speaking","Act as the campus representative to promote educational and technological programs among peers. Organize promotional events, manage local community engagement, and drive participation through various marketing channels."
Customer Support,NoBroker Technologies Solution Private Limited,Bangalore,Immediately,6 Months,"₹ 12,000 /month","IT and Software Development, Housing","Customer Support & Technical Helpdesk, Client Relationship Management (CRM)","Customer Service, Issue Resolution, Communication, CRM Software","Handle customer inquiries, resolve technical and service-related issues regarding real estate tech platforms, and ensure high customer satisfaction ratings through prompt communication."
Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month",Banking and Financial Services,"Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","HR Operations, Employee Engagement, Payroll Support, MS Excel","Assist the HR team at a financial services firm with employee relations, data management, performance appraisal tracking, and general HR administrative tasks."
Sales,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-2,500 /month","IT and Software Development, Media, Entertainment & Education","B2B Sales & Key Account Management, Client Relationship Management (CRM)","Lead Generation, Cold Calling, Client Negotiation, Sales Strategy","Identify potential clients, pitch technology or educational products, and build long-term relationships to drive sales growth and expand market reach."
Marketing,Vedantu Innovations,Tiruchirappalli,Immediately,3 Months,"₹ 20,000 /month","Media, Entertainment & Education","Digital Marketing & SEO/SEM, Brand Management & Advertising","Campaign Management, Content Strategy, Social Media, Data Analytics","Plan and execute digital marketing campaigns to promote EdTech solutions. Analyze campaign performance metrics, create engaging promotional content, and collaborate with creative teams."
Generative Adversarial Networks,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 8,000-12,000 /month",IT and Software Development,Artificial Intelligence & Machine Learning,"Python, TensorFlow or PyTorch, Deep Learning, GAN Architectures","Design, train, and evaluate Generative Adversarial Networks for various AI applications. Experiment with model architectures, optimize hyperparameters, and analyze generated data quality."
Node.js Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives",IT and Software Development,"Full Stack Web Development, Software Engineering","Node.js, Express.js, RESTful APIs, JavaScript",Develop and maintain robust backend services and APIs using Node.js. Collaborate with frontend developers to integrate user-facing elements with server-side logic and database management.
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-8,000 /month",IT and Software Development,"Product Management, Software Engineering","Agile Methodologies, Product Roadmapping, Technical Specifications, Data Analysis","Define product requirements, create technical specifications, and work closely with engineering teams to build and ship software features. Prioritize feature backlogs and monitor product performance."
Web Development (Frontend),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-7,500 /month",IT and Software Development,"Full Stack Web Development, UI/UX & Product Design","HTML/CSS, JavaScript, React.js, Responsive Design","Build responsive and interactive user interfaces using modern frontend web technologies. Translate UI/UX wireframes into clean, maintainable code and ensure cross-browser compatibility."
Sales,NoBroker Technologies Solutions Private Limited,Hyderabad,Immediately,3 Months,"₹ 15,000 /month","Housing, IT and Software Development","B2B Sales & Key Account Management, Client Relationship Management (CRM)","Sales Execution, Customer Negotiation, Lead Management, CRM Tools","Drive sales operations for a prop-tech platform by engaging prospective clients, explaining property listing solutions, and closing subscription or service deals."
Technical Content Writing,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives","IT and Software Development, Media, Entertainment & Education","Content Strategy & Copywriting, Digital Marketing & SEO/SEM","Technical Writing, Documentation, SEO Writing, Editing","Create clear, concise technical documentation, user guides, blog posts, and tutorials for software platforms. Research complex technical concepts and present them in an easy-to-understand format for users."
MERN Stack Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 4,000-10,000 /month",IT and Software Development,"Full Stack Web Development, Software Engineering","MongoDB, Express.js, React.js, Node.js","Build end-to-end web applications using the MERN stack. Implement database schemas, develop server-side logic, and create dynamic user interfaces for seamless application performance."
ReactJs Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-5,000 /month",IT and Software Development,"Full Stack Web Development, Software Engineering","React.js, JavaScript (ES6+), Redux, HTML/CSS","Develop scalable and high-performance user interfaces using React.js. Integrate APIs, manage application state efficiently, and resolve frontend bugs to enhance user experience."
Python Django Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives",IT and Software Development,Full Stack Web Development,"Python, Django, SQL, REST APIs","Assist in building and maintaining back-end features using Python and the Django framework. Collaborate with developers to integrate databases and write clean, reusable code."
Python Automation,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives",IT and Software Development,Cloud Computing & DevOps,"Python, Scripting, Automation, Testing",Design and implement Python scripts to automate repetitive testing and operational tasks. Troubleshoot existing automation workflows and document performance metrics.
HR & Admin,Modenik Lifestyle Private Limited,Bangalore,Immediately,3 Months,"₹ 8,000 /month",FMCG (Fast-Moving Consumer Goods),Human Resources (HR) & People Operations,"HR Administration, Employee Relations, MS Office",Support day-to-day human resources functions including employee onboarding and attendance tracking. Maintain physical and digital employee records while assisting with administrative office duties.
Resource Management,Techolution,Hyderabad,Immediately,3 Months,"₹ 15,000 /month",IT and Software Development,Talent Acquisition & Technical Recruitment,"Resource Allocation, Scheduling, Communication",Manage resource availability and allocation across various internal technical projects. Coordinate with project managers to ensure optimal staffing levels and track project resource utilization.
Project Management,IIT Bombay,Work From Home,Immediately,3 Months,"₹ 1,000-2,000 /month","Media, Entertainment & Education",Project & Program Management,"Project Planning, Agile, Documentation","Assist academic and administrative project teams in tracking deliverables, timelines, and milestones. Coordinate meetings, draft status reports, and ensure compliance with institutional guidelines."
Business Development,Ozzone Group,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Retail & Consumer Durables,B2B Sales & Key Account Management,"Lead Generation, Market Research, Negotiation",Identify new business prospects and build relationships with potential clients to expand market reach. Conduct market research to support sales strategies and pitch company offerings effectively.
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Ahmedabad,Immediately,3 Months,"₹ 15,000 /month",Banking and Financial Services,B2B Sales & Key Account Management,"Inside Sales, Client Communication, CRM",Engage with prospective property buyers and tenants via calls and meetings to close sales deals. Maintain customer interaction records in CRM systems and follow up on incoming leads promptly.
Sales Promotion,IndiaFirst Life Private Limited,Mumbai,Immediately,3 Months,"₹ 25,000 /month",Banking and Financial Services,Brand Management & Advertising,"Sales Strategies, Promotional Events, Marketing",Plan and execute sales promotion campaigns to drive life insurance product awareness and uptake. Collaborate with field agents to organize promotional events and distribute marketing collateral.
UI Design,Pepperfry,Mumbai,Immediately,3 Months,"₹ 20,000-25,000 /month",Retail & Consumer Durables,UI/UX & Product Design,"Figma, UI Design, Wireframing",Create intuitive user interfaces and wireframes for e-commerce web and mobile platforms. Work alongside product managers and developers to ensure design consistency and optimal user experiences.
Project Management (Marketing),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-7,000 /month",IT and Software Development,Project & Program Management,"Marketing Strategy, Project Management, Coordination","Coordinate marketing campaign schedules, deliverables, and cross-functional teams to ensure timely execution. Monitor project progress against marketing goals and report performance metrics."
Finance & Accounting,MetrixLab,Hyderabad,Immediately,3 Months,"₹ 18,000 /month",Banking and Financial Services,Auditing & Taxation,"Accounting, Excel, Financial Reporting","Assist the finance team in maintaining general ledgers, processing invoices, and reconciling accounts. Prepare periodic financial reports and support audit procedures."
Customer Relationship,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,3 Months,"₹ 12,000 /month",Banking and Financial Services,Client Relationship Management (CRM),"Customer Support, Problem Solving, Communication","Handle customer inquiries, resolve service issues, and maintain strong client relationships across real estate platforms. Ensure high customer satisfaction levels by providing timely and accurate assistance."
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3 Months,"₹ 15,000 /month",Manufacturing & Industrial,Talent Acquisition & Technical Recruitment,"Sourcing, Interview Scheduling, Candidate Screening","Source potential candidates through job portals, social media, and professional networks for various internal roles. Screen resumes, coordinate interview schedules, and assist with onboarding logistics."
Communication & Project Management,Teach For India,Hyderabad,Immediately,3 Months,"₹ 4,000 /month","Media, Entertainment & Education",Project & Program Management,"Written Communication, Stakeholder Engagement, Project Coordination","Manage internal and external communications to support educational fellowship programs and stakeholder engagement. Coordinate project activities, draft newsletter content, and track program metrics."
Logistics And Operations,Delhivery,Mumbai,Immediately,3 Months,"₹ 8,000 /month",Logistics & Supply Chain,Supply Chain Planning & Optimization,"Logistics Operations, Data Analysis, Supply Chain",Monitor daily freight and warehouse operations to ensure timely order fulfillment and delivery. Analyze supply chain bottlenecks and recommend process improvements to enhance operational efficiency.
Event Management,Times Internet,Noida,Immediately,3 Months,"₹ 10,000 /month","Media, Entertainment & Education",Event Management & Public Relations,"Event Planning, Vendor Management, Logistics","Assist in planning, organizing, and executing corporate events, webinars, and digital conclaves. Coordinate with vendors, manage participant registrations, and handle on-site logistics."
Content Writing,LeadSquared,Bangalore,Immediately,3 Months,"₹ 20,000 /month",IT and Software Development,Content Strategy & Copywriting,"Copywriting, SEO, B2B Content","Write engaging blog posts, website copy, and marketing collateral focused on B2B SaaS solutions. Collaborate with the marketing team to optimize content for search engines and drive organic traffic."
Environment Education Program (Mumbai),WWF-India,Mumbai,Immediately,3 Months,"₹ 10,000 /month","Media, Entertainment & Education",Agribusiness Management & Extension,"Environmental Science, Public Speaking, Program Coordination",Develop educational materials and workshops focused on environmental conservation for schools and communities in Mumbai. Facilitate interactive sessions and participate in field awareness campaigns.
Business Development (Sales),Anarock Property Consultant Private Limited,Bangalore,Immediately,3 Months,"₹ 20,000 /month",Consulting Services,B2B Sales & Key Account Management,"Real Estate Sales, Lead Generation, Negotiation","Proactively reach out to prospective real estate buyers and investors to pitch property advisory services. Organize property site visits, negotiate deals, and maintain a robust sales pipeline."
Human Resources (HR),Zee Media Corporation Limited,Noida,Immediately,3 Months,"₹ 2,000 /month","Media, Entertainment & Education",Human Resources (HR) & People Operations,"HR Operations, Employee Engagement, Recruitment","Support the HR department in handling employee relations, internal communications, and performance appraisals. Assist with talent acquisition processes and organize employee engagement activities."
Finance,CaratLane Trading Private Limited,Chennai,Immediately,3 Months,"₹ 15,000 /month","Banking and Financial Services, Gems & Jewellery","Corporate Finance & Treasury, Auditing & Taxation","Financial Accounting, Excel, Auditing, Data Analysis","Assist the finance team at CaratLane with daily ledger maintenance, invoice processing, and financial reporting. Help prepare variance analysis reports and support audits as needed."
